Simulation Time,Sender,Packet Type,Number of Vehicles
3.743884148146,node[2],bsm,5
3.752683912776,node[0],bsm,5
3.763327301783,node[4],bsm,5
3.801898016571,node[1],bsm,5
3.840425794269,node[3],bsm,5
3.843884148146,node[2],bsm,5
3.852683912776,node[0],bsm,5
3.863327301783,node[4],bsm,5
3.901898016571,node[1],bsm,5
3.940425794269,node[3],bsm,5
3.943884148146,node[2],bsm,5
3.952683912776,node[0],bsm,5
3.963327301783,node[4],bsm,5
4.001898016571,node[1],bsm,5
4.040425794269,node[3],bsm,5
4.043884148146,node[2],bsm,5
4.052683912776,node[0],bsm,5
4.063327301783,node[4],bsm,5
4.101898016571,node[1],bsm,5
4.140425794269,node[3],bsm,5
4.143884148146,node[2],bsm,5
4.152683912776,node[0],bsm,5
4.163327301783,node[4],bsm,5
4.201898016571,node[1],bsm,5
4.240425794269,node[3],bsm,5
4.243884148146,node[2],bsm,5
4.252683912776,node[0],bsm,5
4.263327301783,node[4],bsm,5
4.301898016571,node[1],bsm,5
4.340425794269,node[3],bsm,5
4.343884148146,node[2],bsm,5
4.352683912776,node[0],bsm,5
4.363327301783,node[4],bsm,5
4.401898016571,node[1],bsm,5
4.440425794269,node[3],bsm,5
4.443884148146,node[2],bsm,5
4.452683912776,node[0],bsm,5
4.463327301783,node[4],bsm,5
4.501898016571,node[1],bsm,5
4.540425794269,node[3],bsm,5
4.543884148146,node[2],bsm,5
4.552683912776,node[0],bsm,5
4.563327301783,node[4],bsm,5
4.601898016571,node[1],bsm,5
4.640425794269,node[3],bsm,5
4.643884148146,node[2],bsm,5
4.652683912776,node[0],bsm,5
4.663327301783,node[4],bsm,5
4.701898016571,node[1],bsm,5
4.740425794269,node[3],bsm,5
4.743884148146,node[2],bsm,5
4.752683912776,node[0],bsm,5
4.763327301783,node[4],bsm,5
4.801898016571,node[1],bsm,6
4.8332562892,node[5],bsm,6
4.840425794269,node[3],bsm,6
4.843884148146,node[2],bsm,6
4.852683912776,node[0],bsm,6
4.863327301783,node[4],bsm,6
4.901898016571,node[1],bsm,6
4.9332562892,node[5],bsm,6
4.940425794269,node[3],bsm,6
4.943884148146,node[2],bsm,6
4.952683912776,node[0],bsm,6
4.963327301783,node[4],bsm,6
5.001898016571,node[1],bsm,6
5.0332562892,node[5],bsm,6
5.040425794269,node[3],bsm,6
5.043884148146,node[2],bsm,6
5.052683912776,node[0],bsm,6
5.063327301783,node[4],bsm,6
5.101898016571,node[1],bsm,7
5.1332562892,node[5],bsm,7
5.140425794269,node[3],bsm,7
5.143884148146,node[2],bsm,7
5.152683912776,node[0],bsm,7
5.163327301783,node[4],bsm,7
5.175352104963,node[6],bsm,7
5.201898016571,node[1],bsm,7
5.2332562892,node[5],bsm,7
5.240425794269,node[3],bsm,7
5.243884148146,node[2],bsm,7
5.252683912776,node[0],bsm,7
5.263327301783,node[4],bsm,7
5.275352104963,node[6],bsm,7
5.301898016571,node[1],bsm,7
5.3332562892,node[5],bsm,7
5.340425794269,node[3],bsm,7
5.343884148146,node[2],bsm,7
5.352683912776,node[0],bsm,7
5.363327301783,node[4],bsm,7
5.375352104963,node[6],bsm,7
5.401898016571,node[1],bsm,7
5.4332562892,node[5],bsm,7
5.440425794269,node[3],bsm,7
5.443884148146,node[2],bsm,7
5.452683912776,node[0],bsm,7
5.463327301783,node[4],bsm,7
5.475352104963,node[6],bsm,7
5.501898016571,node[1],bsm,7
5.5332562892,node[5],bsm,7
5.540425794269,node[3],bsm,7
5.543884148146,node[2],bsm,7
5.552683912776,node[0],bsm,7
5.563327301783,node[4],bsm,7
5.575352104963,node[6],bsm,7
5.601898016571,node[1],bsm,7
5.6332562892,node[5],bsm,7
5.640425794269,node[3],bsm,7
5.643884148146,node[2],bsm,7
5.652683912776,node[0],bsm,7
5.663327301783,node[4],bsm,7
5.675352104963,node[6],bsm,7
5.701898016571,node[1],bsm,7
5.7332562892,node[5],bsm,7
5.740425794269,node[3],bsm,7
5.743884148146,node[2],bsm,7
5.752683912776,node[0],bsm,7
5.763327301783,node[4],bsm,7
5.775352104963,node[6],bsm,7
5.801898016571,node[1],bsm,7
5.8332562892,node[5],bsm,7
5.840425794269,node[3],bsm,7
5.843884148146,node[2],bsm,7
5.852683912776,node[0],bsm,7
5.863327301783,node[4],bsm,7
5.875352104963,node[6],bsm,7
5.901898016571,node[1],bsm,7
5.9332562892,node[5],bsm,7
5.940425794269,node[3],bsm,7
5.943884148146,node[2],bsm,7
5.952683912776,node[0],bsm,7
5.963327301783,node[4],bsm,7
5.975352104963,node[6],bsm,7
6.001898016571,node[1],bsm,7
6.0332562892,node[5],bsm,7
6.040425794269,node[3],bsm,7
6.043884148146,node[2],bsm,7
6.052683912776,node[0],bsm,7
6.063327301783,node[4],bsm,7
6.075352104963,node[6],bsm,7
6.101898016571,node[1],bsm,7
6.1332562892,node[5],bsm,7
6.140425794269,node[3],bsm,7
6.143884148146,node[2],bsm,7
6.152683912776,node[0],bsm,7
6.163327301783,node[4],bsm,7
6.175352104963,node[6],bsm,7
6.201898016571,node[1],bsm,7
6.2332562892,node[5],bsm,7
6.240425794269,node[3],bsm,7
6.243884148146,node[2],bsm,7
6.252683912776,node[0],bsm,7
6.263327301783,node[4],bsm,7
6.275352104963,node[6],bsm,7
6.301898016571,node[1],bsm,7
6.3332562892,node[5],bsm,7
6.340425794269,node[3],bsm,7
6.343884148146,node[2],bsm,7
6.352683912776,node[0],bsm,7
6.363327301783,node[4],bsm,7
6.375352104963,node[6],bsm,7
6.401898016571,node[1],bsm,7
6.4332562892,node[5],bsm,7
6.440425794269,node[3],bsm,7
6.443884148146,node[2],bsm,7
6.452683912776,node[0],bsm,7
6.463327301783,node[4],bsm,7
6.475352104963,node[6],bsm,7
6.501898016571,node[1],bsm,7
6.5332562892,node[5],bsm,7
6.540425794269,node[3],bsm,7
6.543884148146,node[2],bsm,7
6.552683912776,node[0],bsm,7
6.563327301783,node[4],bsm,7
6.575352104963,node[6],bsm,7
6.601898016571,node[1],bsm,8
6.622355413251,node[7],bsm,8
6.6332562892,node[5],bsm,8
6.640425794269,node[3],bsm,8
6.643884148146,node[2],bsm,8
6.652683912776,node[0],bsm,8
6.663327301783,node[4],bsm,8
6.675352104963,node[6],bsm,8
6.701898016571,node[1],bsm,8
6.722355413251,node[7],bsm,8
6.7332562892,node[5],bsm,8
6.740425794269,node[3],bsm,8
6.743884148146,node[2],bsm,8
6.752683912776,node[0],bsm,8
6.763327301783,node[4],bsm,8
6.775352104963,node[6],bsm,8
6.801898016571,node[1],bsm,8
6.822355413251,node[7],bsm,8
6.8332562892,node[5],bsm,8
6.840425794269,node[3],bsm,8
6.843884148146,node[2],bsm,8
6.852683912776,node[0],bsm,8
6.863327301783,node[4],bsm,8
6.875352104963,node[6],bsm,8
6.901898016571,node[1],bsm,8
6.922355413251,node[7],bsm,8
6.9332562892,node[5],bsm,8
6.940425794269,node[3],bsm,8
6.943884148146,node[2],bsm,8
6.952683912776,node[0],bsm,8
6.963327301783,node[4],bsm,8
6.975352104963,node[6],bsm,8
7.001898016571,node[1],bsm,8
7.022355413251,node[7],bsm,8
7.0332562892,node[5],bsm,8
7.040425794269,node[3],bsm,8
7.043884148146,node[2],bsm,8
7.052683912776,node[0],bsm,8
7.063327301783,node[4],bsm,8
7.075352104963,node[6],bsm,8
7.101898016571,node[1],bsm,8
7.122355413251,node[7],bsm,8
7.1332562892,node[5],bsm,8
7.140425794269,node[3],bsm,8
7.143884148146,node[2],bsm,8
7.152683912776,node[0],bsm,8
7.163327301783,node[4],bsm,8
7.175352104963,node[6],bsm,8
7.201898016571,node[1],bsm,8
7.222355413251,node[7],bsm,8
7.2332562892,node[5],bsm,8
7.240425794269,node[3],bsm,8
7.243884148146,node[2],bsm,8
7.252683912776,node[0],bsm,8
7.263327301783,node[4],bsm,8
7.275352104963,node[6],bsm,8
7.301898016571,node[1],bsm,8
7.322355413251,node[7],bsm,8
7.3332562892,node[5],bsm,8
7.340425794269,node[3],bsm,8
7.343884148146,node[2],bsm,8
7.352683912776,node[0],bsm,8
7.363327301783,node[4],bsm,8
7.375352104963,node[6],bsm,8
7.401898016571,node[1],bsm,8
7.422355413251,node[7],bsm,8
7.4332562892,node[5],bsm,8
7.440425794269,node[3],bsm,8
7.443884148146,node[2],bsm,8
7.452683912776,node[0],bsm,8
7.463327301783,node[4],bsm,8
7.475352104963,node[6],bsm,8
7.501898016571,node[1],bsm,8
7.522355413251,node[7],bsm,8
7.5332562892,node[5],bsm,8
7.540425794269,node[3],bsm,8
7.543884148146,node[2],bsm,8
7.552683912776,node[0],bsm,8
7.563327301783,node[4],bsm,8
7.575352104963,node[6],bsm,8
7.601898016571,node[1],bsm,8
7.622355413251,node[7],bsm,8
7.6332562892,node[5],bsm,8
7.640425794269,node[3],bsm,8
7.643884148146,node[2],bsm,8
7.652683912776,node[0],bsm,8
7.663327301783,node[4],bsm,8
7.675352104963,node[6],bsm,8
7.701898016571,node[1],bsm,8
7.722355413251,node[7],bsm,8
7.7332562892,node[5],bsm,8
7.740425794269,node[3],bsm,8
7.743884148146,node[2],bsm,8
7.752683912776,node[0],bsm,8
7.763327301783,node[4],bsm,8
7.775352104963,node[6],bsm,8
7.801898016571,node[1],bsm,8
7.822355413251,node[7],bsm,8
