Simulation Time,Node,Data Length,Error rate,SNIR
0.079174943999,wirelessHost[0],464,0,1.72894e+13
0.079174943999,wirelessHost[0],464,0,1.72894e+13
0.079175083426,wirelessHost[1],464,0,8.91099e+12
0.079175083426,wirelessHost[1],464,0,8.91099e+12
0.079175391918,wirelessHost[2],464,0,3.37816e+12
0.079175391918,wirelessHost[2],464,0,3.37816e+12
0.142655484297,wirelessHost[2],272,0,1.36522e+13
0.142655484297,wirelessHost[2],272,0,1.36522e+13
0.142655579242,accessPoint,272,0,8.91099e+12
0.142655579242,accessPoint,272,0,8.91099e+12
0.142655890775,wirelessHost[0],272,0,3.35271e+12
0.142655890775,wirelessHost[0],272,0,3.35271e+12
0.143071934086,wirelessHost[0],464,0,1.72894e+13
0.143071934086,wirelessHost[0],464,0,1.72894e+13
0.143072073513,wirelessHost[1],464,0,8.91099e+12
0.143072073513,wirelessHost[1],464,0,8.91099e+12
0.143072382005,wirelessHost[2],464,0,3.37816e+12
0.143072382005,wirelessHost[2],464,0,3.37816e+12
0.143116472839,wirelessHost[2],176,0,1.36522e+13
0.143116472839,wirelessHost[2],176,0,1.36522e+13
0.143116567784,accessPoint,176,0,8.91099e+12
0.143116567784,accessPoint,176,0,8.91099e+12
0.143116879317,wirelessHost[0],176,0,3.35271e+12
0.143116879317,wirelessHost[0],176,0,3.35271e+12
0.179174943999,wirelessHost[0],464,0,1.72894e+13
0.179174943999,wirelessHost[0],464,0,1.72894e+13
0.179175083426,wirelessHost[1],464,0,8.91099e+12
0.179175083426,wirelessHost[1],464,0,8.91099e+12
0.179175391918,wirelessHost[2],464,0,3.37816e+12
0.179175391918,wirelessHost[2],464,0,3.37816e+12
0.279174943999,wirelessHost[0],464,0,1.72894e+13
0.279174943999,wirelessHost[0],464,0,1.72894e+13
0.279175083426,wirelessHost[1],464,0,8.91099e+12
0.279175083426,wirelessHost[1],464,0,8.91099e+12
0.279175391918,wirelessHost[2],464,0,3.37816e+12
0.279175391918,wirelessHost[2],464,0,3.37816e+12
0.342604002671,wirelessHost[1],272,0,1.36522e+13
0.342604002671,wirelessHost[1],272,0,1.36522e+13
0.342604406108,accessPoint,272,0,3.37816e+12
0.342604406108,accessPoint,272,0,3.37816e+12
0.342604628454,wirelessHost[0],272,0,2.07165e+12
0.342604628454,wirelessHost[0],272,0,2.07165e+12
0.343300760952,wirelessHost[0],464,0,1.72894e+13
0.343300760952,wirelessHost[0],464,0,1.72894e+13
0.343300900379,wirelessHost[1],464,0,8.91099e+12
0.343300900379,wirelessHost[1],464,0,8.91099e+12
0.343301208871,wirelessHost[2],464,0,3.37816e+12
0.343301208871,wirelessHost[2],464,0,3.37816e+12
0.343345608197,wirelessHost[1],176,0,1.36522e+13
0.343345608197,wirelessHost[1],176,0,1.36522e+13
0.343346011634,accessPoint,176,0,3.37816e+12
0.343346011634,accessPoint,176,0,3.37816e+12
0.34334623398,wirelessHost[0],176,0,2.07165e+12
