Simulation Time,Node,Contetion Size,configuration
0.06771084629,accessPoint,31,conf1_wired
0.16771084629,accessPoint,31,conf1_wired
0.26771084629,accessPoint,31,conf1_wired
0.36771084629,accessPoint,31,conf1_wired
0.46771084629,accessPoint,31,conf1_wired
0.56771084629,accessPoint,31,conf1_wired
0.66771084629,accessPoint,31,conf1_wired
0.76771084629,accessPoint,31,conf1_wired
0.86771084629,accessPoint,31,conf1_wired
0.96771084629,accessPoint,31,conf1_wired
1.0000298,accessPoint,31,conf1_wired
1.06771084629,accessPoint,31,conf1_wired
1.16771084629,accessPoint,31,conf1_wired
1.26771084629,accessPoint,31,conf1_wired
1.36771084629,accessPoint,31,conf1_wired
1.46771084629,accessPoint,31,conf1_wired
1.56771084629,accessPoint,31,conf1_wired
1.66771084629,accessPoint,31,conf1_wired
1.76771084629,accessPoint,31,conf1_wired
1.86771084629,accessPoint,31,conf1_wired
1.96771084629,accessPoint,31,conf1_wired
2.06771084629,accessPoint,31,conf1_wired
2.16771084629,accessPoint,31,conf1_wired
2.26771084629,accessPoint,31,conf1_wired
2.36771084629,accessPoint,31,conf1_wired
2.46771084629,accessPoint,31,conf1_wired
2.56771084629,accessPoint,31,conf1_wired
2.66771084629,accessPoint,31,conf1_wired
2.76771084629,accessPoint,31,conf1_wired
2.86771084629,accessPoint,31,conf1_wired
2.96771084629,accessPoint,31,conf1_wired
3.06771084629,accessPoint,31,conf1_wired
3.16771084629,accessPoint,31,conf1_wired
3.26771084629,accessPoint,31,conf1_wired
3.36771084629,accessPoint,31,conf1_wired
3.46771084629,accessPoint,31,conf1_wired
3.56771084629,accessPoint,31,conf1_wired
3.66771084629,accessPoint,31,conf1_wired
3.76771084629,accessPoint,31,conf1_wired
3.86771084629,accessPoint,31,conf1_wired
3.96771084629,accessPoint,31,conf1_wired
4.06771084629,accessPoint,31,conf1_wired
4.16771084629,accessPoint,31,conf1_wired
4.26771084629,accessPoint,31,conf1_wired
4.36771084629,accessPoint,31,conf1_wired
4.46771084629,accessPoint,31,conf1_wired
4.56771084629,accessPoint,31,conf1_wired
4.66771084629,accessPoint,31,conf1_wired
4.76771084629,accessPoint,31,conf1_wired
4.86771084629,accessPoint,31,conf1_wired
4.96771084629,accessPoint,31,conf1_wired
5.06771084629,accessPoint,31,conf1_wired
5.16771084629,accessPoint,31,conf1_wired
5.26771084629,accessPoint,31,conf1_wired
5.36771084629,accessPoint,31,conf1_wired
5.46771084629,accessPoint,31,conf1_wired
5.56771084629,accessPoint,31,conf1_wired
5.66771084629,accessPoint,31,conf1_wired
5.76771084629,accessPoint,31,conf1_wired
5.86771084629,accessPoint,31,conf1_wired
5.96771084629,accessPoint,31,conf1_wired
6.06771084629,accessPoint,31,conf1_wired
6.16771084629,accessPoint,31,conf1_wired
6.26771084629,accessPoint,31,conf1_wired
6.36771084629,accessPoint,31,conf1_wired
6.46771084629,accessPoint,31,conf1_wired
6.56771084629,accessPoint,31,conf1_wired
6.66771084629,accessPoint,31,conf1_wired
6.76771084629,accessPoint,31,conf1_wired
6.86771084629,accessPoint,31,conf1_wired
6.96771084629,accessPoint,31,conf1_wired
7.06771084629,accessPoint,31,conf1_wired
7.16771084629,accessPoint,31,conf1_wired
7.26771084629,accessPoint,31,conf1_wired
7.36771084629,accessPoint,31,conf1_wired
7.46771084629,accessPoint,31,conf1_wired
7.56771084629,accessPoint,31,conf1_wired
7.66771084629,accessPoint,31,conf1_wired
7.76771084629,accessPoint,31,conf1_wired
7.86771084629,accessPoint,31,conf1_wired
7.96771084629,accessPoint,31,conf1_wired
8.06771084629,accessPoint,31,conf1_wired
8.16771084629,accessPoint,31,conf1_wired
8.26771084629,accessPoint,31,conf1_wired
8.36771084629,accessPoint,31,conf1_wired
