Simulation Time,Node,Contetion Size
0.017784411297,accessPoint,31
0.100614717463,wirelessHost[13],15
0.100653635101,accessPoint,31
0.103484000149,wirelessHost[27],15
0.103522141687,accessPoint,31
0.112623479427,wirelessHost[1],15
0.112662193794,accessPoint,31
0.117784411297,accessPoint,31
0.119468009821,wirelessHost[14],15
0.119506544911,accessPoint,31
0.122402821877,wirelessHost[9],15
0.12244137007,accessPoint,31
0.13317752406,wirelessHost[11],15
0.133216016665,accessPoint,31
0.149320920999,wirelessHost[21],15
0.149359524993,accessPoint,31
0.165510623483,wirelessHost[8],15
0.165549505142,accessPoint,31
0.169803034165,wirelessHost[5],15
0.169841543824,accessPoint,31
0.179375631455,wirelessHost[7],15
0.179414185091,accessPoint,31
0.208012406225,wirelessHost[0],15
0.208050595753,accessPoint,31
0.216247867001,wirelessHost[29],15
0.21628669681,accessPoint,31
0.217784411297,accessPoint,31
0.227963762055,wirelessHost[6],15
0.228002228437,accessPoint,31
0.228039426892,wirelessHost[26],15
0.228732117821,accessPoint,31
0.229772388446,wirelessHost[20],15
0.22981134204,accessPoint,31
0.233606425882,wirelessHost[12],15
0.233644774313,accessPoint,31
0.243377484358,wirelessHost[4],15
0.24341576094,accessPoint,31
0.248650790262,wirelessHost[19],15
0.248689321358,accessPoint,31
0.249812646932,wirelessHost[24],15
0.2498509702,accessPoint,31
0.274605272617,wirelessHost[15],15
0.274644215966,accessPoint,31
0.303390374663,wirelessHost[2],15
0.303429311889,accessPoint,31
0.30978180808,wirelessHost[10],15
0.309820309338,accessPoint,31
0.317784411297,accessPoint,31
0.333806568943,wirelessHost[16],15
0.333844930986,accessPoint,31
0.339382350422,wirelessHost[3],15
0.33942090198,accessPoint,31
0.352120184852,wirelessHost[25],15
0.352158536502,accessPoint,31
0.353480582125,wirelessHost[22],15
0.353518757704,accessPoint,31
0.358071561437,wirelessHost[23],15
0.358110288799,accessPoint,31
0.360575973103,wirelessHost[17],15
0.360614836975,accessPoint,31
0.379111861368,wirelessHost[18],15
0.379150595844,accessPoint,31
0.387882417603,wirelessHost[28],15
0.387920971899,accessPoint,31
0.400614717463,wirelessHost[13],15
0.400657635101,accessPoint,31
0.401254552739,wirelessHost[13],15
0.401611470377,accessPoint,31
0.402228388015,wirelessHost[13],15
0.402585305653,accessPoint,31
0.403484000149,wirelessHost[27],15
0.403526141687,accessPoint,31
0.403782283225,wirelessHost[27],15
0.403978424763,accessPoint,31
0.404674566301,wirelessHost[27],15
0.404910707839,accessPoint,31
0.412623479427,wirelessHost[1],15
0.412666193794,accessPoint,31
0.413262908161,wirelessHost[1],15
0.413439622528,accessPoint,31
0.413576336895,wirelessHost[1],15
0.413853051262,accessPoint,31
0.417784411297,accessPoint,31
0.419468009821,wirelessHost[14],15
0.419510544911,accessPoint,31
0.419907080001,wirelessHost[14],15
0.420063615091,accessPoint,31
0.420400150181,wirelessHost[14],15
0.420616685271,accessPoint,31
0.422402821877,wirelessHost[9],15
0.42244537007,accessPoint,31
0.422881918263,wirelessHost[9],15
0.423318466456,accessPoint,31
0.423675014649,wirelessHost[9],15
0.423971562842,accessPoint,31
0.43317752406,wirelessHost[11],15
0.433220016665,accessPoint,31
0.43395650927,wirelessHost[11],15
0.434153001875,accessPoint,31
0.43470949448,wirelessHost[11],15
0.434845987085,accessPoint,31
0.449320920999,wirelessHost[21],15
0.449363524993,accessPoint,31
0.449540128987,wirelessHost[21],15
0.449956732981,accessPoint,31
0.450253336975,wirelessHost[21],15
0.450609940969,accessPoint,31
0.465510623483,wirelessHost[8],15
0.465553505142,accessPoint,31
0.466290386801,wirelessHost[8],15
0.46656726846,accessPoint,31
0.467184150119,wirelessHost[8],15
0.467421031778,accessPoint,31
0.469803034165,wirelessHost[5],15
