Simulation Time,Node,Contetion Size
3.00107,wirelessHost[7],31
3.00107,wirelessHost[8],31
3.00107,wirelessHost[9],31
3.008493038706,wirelessHost[2],63
3.00849347855,wirelessHost[7],63
3.010959945386,wirelessHost[0],63
3.036004135408,accessPoint,31
3.136004135408,accessPoint,31
3.236004135408,accessPoint,31
3.336004135408,accessPoint,31
3.436004135408,accessPoint,31
3.536004135408,accessPoint,31
3.636004135408,accessPoint,31
3.736004135408,accessPoint,31
3.836004135408,accessPoint,31
3.936004135408,accessPoint,31
4,wirelessHost[0],15
4,wirelessHost[1],15
4,wirelessHost[2],15
4,wirelessHost[3],15
4,wirelessHost[4],15
4,wirelessHost[5],15
4,wirelessHost[6],15
4,wirelessHost[7],15
4,wirelessHost[8],15
4,wirelessHost[9],15
4.00107,wirelessHost[0],31
4.00107,wirelessHost[1],31
4.00107,wirelessHost[2],31
4.00107,wirelessHost[3],31
4.00107,wirelessHost[4],31
4.00107,wirelessHost[5],31
4.00107,wirelessHost[6],31
4.00107,wirelessHost[7],31
4.00107,wirelessHost[8],31
4.00107,wirelessHost[9],31
4.008351623169,wirelessHost[9],63
4.008352112908,wirelessHost[3],63
4.036004135408,accessPoint,31
4.136004135408,accessPoint,31
4.236004135408,accessPoint,31
4.336004135408,accessPoint,31
4.436004135408,accessPoint,31
4.536004135408,accessPoint,31
4.636004135408,accessPoint,31
4.736004135408,accessPoint,31
4.836004135408,accessPoint,31
4.936004135408,accessPoint,31
5,wirelessHost[0],15
5,wirelessHost[1],15
5,wirelessHost[2],15
5,wirelessHost[3],15
5,wirelessHost[4],15
5,wirelessHost[5],15
5,wirelessHost[6],15
5,wirelessHost[7],15
5,wirelessHost[8],15
5,wirelessHost[9],15
5.00107,wirelessHost[0],31
5.00107,wirelessHost[1],31
5.00107,wirelessHost[2],31
5.00107,wirelessHost[3],31
5.00107,wirelessHost[4],31
5.00107,wirelessHost[5],31
5.00107,wirelessHost[6],31
5.00107,wirelessHost[7],31
5.00107,wirelessHost[8],31
5.00107,wirelessHost[9],31
5.036004135408,accessPoint,31
5.136004135408,accessPoint,31
5.236004135408,accessPoint,31
5.336004135408,accessPoint,31
5.436004135408,accessPoint,31
5.536004135408,accessPoint,31
5.636004135408,accessPoint,31
5.736004135408,accessPoint,31
5.836004135408,accessPoint,31
5.936004135408,accessPoint,31
6,wirelessHost[0],15
6,wirelessHost[1],15
6,wirelessHost[2],15
6,wirelessHost[3],15
6,wirelessHost[4],15
6,wirelessHost[5],15
6,wirelessHost[6],15
6,wirelessHost[7],15
6,wirelessHost[8],15
6,wirelessHost[9],15
6.00107,wirelessHost[0],31
6.00107,wirelessHost[1],31
6.00107,wirelessHost[2],31
6.00107,wirelessHost[3],31
6.00107,wirelessHost[4],31
6.00107,wirelessHost[5],31
6.00107,wirelessHost[6],31
6.00107,wirelessHost[7],31
6.00107,wirelessHost[8],31
6.00107,wirelessHost[9],31
6.003442824257,wirelessHost[0],63
6.003443033887,wirelessHost[9],63
6.036004135408,accessPoint,31
6.136004135408,accessPoint,31
6.236004135408,accessPoint,31
6.336004135408,accessPoint,31
6.436004135408,accessPoint,31
6.536004135408,accessPoint,31
6.636004135408,accessPoint,31
6.736004135408,accessPoint,31
6.836004135408,accessPoint,31
6.936004135408,accessPoint,31
7,wirelessHost[0],15
7,wirelessHost[1],15
7,wirelessHost[2],15
7,wirelessHost[3],15
7,wirelessHost[4],15
7,wirelessHost[5],15
7,wirelessHost[6],15
