Simulation Time,Node,Header Length,Error rate,SNIR 
0.079174943999,wirelessHost[0],40,0,1.72894e+33
0.079174943999,wirelessHost[0],40,0,1.72894e+33
0.079175083426,wirelessHost[1],40,0,8.91099e+32
0.079175083426,wirelessHost[1],40,0,8.91099e+32
0.079175391918,wirelessHost[2],40,0,3.37816e+32
0.079175391918,wirelessHost[2],40,0,3.37816e+32
0.142655484297,wirelessHost[2],40,0,1.36522e+33
0.142655484297,wirelessHost[2],40,0,1.36522e+33
0.142655579242,accessPoint,40,0,8.91099e+32
0.142655579242,accessPoint,40,0,8.91099e+32
0.142655890775,wirelessHost[0],40,0,3.35271e+32
0.142655890775,wirelessHost[0],40,0,3.35271e+32
0.143071934086,wirelessHost[0],40,0,1.72894e+33
0.143071934086,wirelessHost[0],40,0,1.72894e+33
0.143072073513,wirelessHost[1],40,0,8.91099e+32
0.143072073513,wirelessHost[1],40,0,8.91099e+32
0.143072382005,wirelessHost[2],40,0,3.37816e+32
0.143072382005,wirelessHost[2],40,0,3.37816e+32
0.143116472839,wirelessHost[2],40,0,1.36522e+33
0.143116472839,wirelessHost[2],40,0,1.36522e+33
0.143116567784,accessPoint,40,0,8.91099e+32
0.143116567784,accessPoint,40,0,8.91099e+32
0.143116879317,wirelessHost[0],40,0,3.35271e+32
0.143116879317,wirelessHost[0],40,0,3.35271e+32
0.179174943999,wirelessHost[0],40,0,1.72894e+33
0.179174943999,wirelessHost[0],40,0,1.72894e+33
0.179175083426,wirelessHost[1],40,0,8.91099e+32
0.179175083426,wirelessHost[1],40,0,8.91099e+32
0.179175391918,wirelessHost[2],40,0,3.37816e+32
0.179175391918,wirelessHost[2],40,0,3.37816e+32
0.279174943999,wirelessHost[0],40,0,1.72894e+33
0.279174943999,wirelessHost[0],40,0,1.72894e+33
0.279175083426,wirelessHost[1],40,0,8.91099e+32
0.279175083426,wirelessHost[1],40,0,8.91099e+32
0.279175391918,wirelessHost[2],40,0,3.37816e+32
0.279175391918,wirelessHost[2],40,0,3.37816e+32
0.342604002671,wirelessHost[1],40,0,1.36522e+33
0.342604002671,wirelessHost[1],40,0,1.36522e+33
0.342604406108,accessPoint,40,0,3.37816e+32
0.342604406108,accessPoint,40,0,3.37816e+32
0.342604628454,wirelessHost[0],40,0,2.07165e+32
0.342604628454,wirelessHost[0],40,0,2.07165e+32
0.343300760952,wirelessHost[0],40,0,1.72894e+33
0.343300760952,wirelessHost[0],40,0,1.72894e+33
0.343300900379,wirelessHost[1],40,0,8.91099e+32
0.343300900379,wirelessHost[1],40,0,8.91099e+32
0.343301208871,wirelessHost[2],40,0,3.37816e+32
0.343301208871,wirelessHost[2],40,0,3.37816e+32
0.343345608197,wirelessHost[1],40,0,1.36522e+33
0.343345608197,wirelessHost[1],40,0,1.36522e+33
0.343346011634,accessPoint,40,0,3.37816e+32
0.343346011634,accessPoint,40,0,3.37816e+32
0.34334623398,wirelessHost[0],40,0,2.07165e+32
0.34334623398,wirelessHost[0],40,0,2.07165e+32
0.379174943999,wirelessHost[0],40,0,1.72894e+33
0.379174943999,wirelessHost[0],40,0,1.72894e+33
0.379175083426,wirelessHost[1],40,0,8.91099e+32
0.379175083426,wirelessHost[1],40,0,8.91099e+32
0.379175391918,wirelessHost[2],40,0,3.37816e+32
0.379175391918,wirelessHost[2],40,0,3.37816e+32
0.399609230249,accessPoint,40,0,1.72894e+33
0.399609230249,accessPoint,40,0,1.72894e+33
0.399609681209,wirelessHost[1],40,0,3.35271e+32
0.399609681209,wirelessHost[1],40,0,3.35271e+32
0.399609900514,wirelessHost[2],40,0,2.07165e+32
0.399609900514,wirelessHost[2],40,0,2.07165e+32
0.400145585093,wirelessHost[0],40,0,1.72894e+33
0.400145585093,wirelessHost[0],40,0,1.72894e+33
0.40014572452,wirelessHost[1],40,0,8.91099e+32
0.40014572452,wirelessHost[1],40,0,8.91099e+32
0.400146033012,wirelessHost[2],40,0,3.37816e+32
0.400146033012,wirelessHost[2],40,0,3.37816e+32
0.400189939937,accessPoint,40,0,1.72894e+33
0.400189939937,accessPoint,40,0,1.72894e+33
0.400190390897,wirelessHost[1],40,0,3.35271e+32
0.400190390897,wirelessHost[1],40,0,3.35271e+32
0.400190610202,wirelessHost[2],40,0,2.07165e+32
0.400190610202,wirelessHost[2],40,0,2.07165e+32
0.442659484297,wirelessHost[2],40,0,1.36522e+33
0.442659484297,wirelessHost[2],40,0,1.36522e+33
0.442659579242,accessPoint,40,0,8.91099e+32
0.442659579242,accessPoint,40,0,8.91099e+32
0.442659890775,wirelessHost[0],40,0,3.35271e+32
0.442659890775,wirelessHost[0],40,0,3.35271e+32
0.442703934086,wirelessHost[0],40,0,1.72894e+33
0.442703934086,wirelessHost[0],40,0,1.72894e+33
0.442704073513,wirelessHost[1],40,0,8.91099e+32
0.442704073513,wirelessHost[1],40,0,8.91099e+32
0.442704382005,wirelessHost[2],40,0,3.37816e+32
0.442704382005,wirelessHost[2],40,0,3.37816e+32
0.443195934086,wirelessHost[0],40,0,1.72894e+33
0.443195934086,wirelessHost[0],40,0,1.72894e+33
0.443196073513,wirelessHost[1],40,0,8.91099e+32
0.443196073513,wirelessHost[1],40,0,8.91099e+32
0.443196382005,wirelessHost[2],40,0,3.37816e+32
